1308 東証ETF 上場インデックスファンドTOPIX（ETF）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2021-01-04","1863","1863","1827","1845","240300","1845"
"2021-01-04","1863","1863","1827","1845","240300","1845"
"2021-01-04","1863","1863","1827","1845","240300","1845"
"2021-01-04","1863","1863","1827","1845","240300","1845"
"2021-01-04","1863","1863","1827","1845","240300","1845"
"2021-01-04","1863","1863","1827","1845","240300","1845"
"2021-01-05","1841","1847","1836","1842","543300","1842"
"2021-01-06","1842","1854","1842","1848","482000","1848"
"2021-01-07","1873","1890","1873","1880","577600","1880"
"2021-01-08","1884","1909","1884","1909","374700","1909"
"2021-01-12","1906","1913","1898","1911","234400","1911"
"2021-01-14","1911","1940","1911","1927","776100","1927"
"2021-01-18","1897","1904","1892","1896","81500","1896"
"2021-01-19","1902","1913","1902","1910","51500","1910"
"2021-01-20","1912","1912","1894","1901","160500","1901"
"2021-01-21","1911","1923","1909","1914","172100","1914"
"2021-01-22","1899","1911","1899","1908","56000","1908"
"2021-01-25","1915","1916","1907","1916","54600","1916"
"2021-01-26","1905","1910","1900","1900","63800","1900"
"2021-01-27","1911","1915","1907","1915","58100","1915"
"2021-01-28","1871","1898","1871","1889","124500","1889"
"2021-01-29","1896","1900","1857","1860","205400","1860"
"2021-02-01","1856","1884","1855","1883","156600","1883"
"2021-02-02","1891","1901","1882","1901","99400","1901"
"2021-02-03","1910","1925","1910","1925","268000","1925"
"2021-02-12","1994","1995","1982","1986","223800","1986"
"2021-02-24","1984","1987","1956","1956","129900","1956"
"2021-02-26","1954","1954","1914","1916","470900","1916"
"2021-03-03","1957","1961","1945","1961","878000","1961"
"2021-03-09","1964","1982","1952","1980","875900","1980"
